proteinIds
Rv2971|Rv2971|Probable_ANNO
sp|P9WQA5|Y2971_MYCTU_ANNO
Rv0020c|fhaA|Conserved_ANNO
Rv0467|icl1|Isocitrate_ANNO
Rv1836c|Rv1836c|Conserved_ANNO
Rv1654|argB|Probable_ANNO
Rv3627c|Rv3627c|Conserved_ANNO
Rv2716|Rv2716|Conserved_ANNO
Rv3596c|clpC1|Probable_ANNO
Rv2140c|TB18.6|Conserved_ANNO
Rv1475c|acn|Probable_ANNO
sp|O53166|ACNA_MYCTU_ANNO
Rv2911|dacB2|Probable_ANNO
Rv0384c|clpB|Probable_ANNO
sp|P9WPD1|CLPB_MYCTU_ANNO
Rv1328|glgP|Probable_ANNO
sp|P9WMW1|PHSG_MYCTU_ANNO
Rv2260|Rv2260|Conserved_ANNO
Rv1392|metK|Probable_ANNO
sp|P9WGV1|METK_MYCTU_ANNO
Rv1467c|fadE15|Probable_ANNO
tr|O53158|O53158_MYCTU_ANNO
Rv0973c|accA2|Probable_ANNO
Rv2537c|aroD|3-dehydroquinate_ANNO
Rv2345|Rv2345|Possible_ANNO
Rv2245|kasA|3-oxoacyl-[acyl-carrier_ANNO
sp|P9WQD9|FAB1_MYCTU_ANNO
Rv1093|glyA1|Serine_ANNO
sp|P9WGI9|GLYA1_MYCTU_ANNO
Rv0946c|pgi|Probable_ANNO
Rv0932c|pstS2|Periplasmic_ANNO
sp|P9WGT9|PSTS2_MYCTU_ANNO
Rv2476c|gdh|Probable_ANNO
Rv0721|rpsE|30S_ANNO
Rv1133c|metE|Probable_ANNO
sp|P9WK07|METE_MYCTU_ANNO
Rv0884c|serC|Possible_ANNO
Rv2996c|serA1|Probable_ANNO
sp|P9WNX3|SERA_MYCTU_ANNO
Rv0009|ppiA|Probable_ANNO
Rv2623|TB31.7|Universal_ANNO
Rv2007c|fdxA|Ferredoxin_ANNO
sp|P9WNE7|FER_MYCTU_ANNO
Rv2294|Rv2294|Probable_ANNO
sp|P9WQ83|CBL_MYCTU_ANNO
Rv0287|esxG|ESAT-6_ANNO
Rv2202c|adoK|Adenosine_ANNO
sp|P9WID5|ADOK_MYCTU_ANNO
Rv2906c|trmD|Probable_ANNO
sp|P9WFY7|TRMD_MYCTU_ANNO
Rv0211|pckA|Probable_ANNO
Rv3875|esxA|6_ANNO
Rv3315c|cdd|Probable_ANNO
Rv0350|dnaK|Probable_ANNO
Rv1411c|lprG|Conserved_ANNO
Rv2948c|fadD22|P-hydroxybenzoyl-AMP_ANNO
Rv1323|fadA4|Probable_ANNO
sp|P9WG69|FADA4_MYCTU_ANNO
Rv3485c|Rv3485c|Probable_ANNO
Rv2566|Rv2566|Long_ANNO
tr|Q50732|Q50732_MYCTU_ANNO
Rv2215|dlaT|DlaT,_ANNO
Rv3150|nuoF|Probable_ANNO
Rv2941|fadD28|Fatty-acid-AMP_ANNO
Rv2828c|Rv2828c|Conserved_ANNO
tr|I6X5G8|I6X5G8_MYCTU_ANNO
Rv3149|nuoE|Probable_ANNO
sp|P9WIV5|NUOE_MYCTU_ANNO
Rv1296|thrB|Probable_ANNO
Rv3634c|galE1|UDP-glucose_ANNO
sp|P9WN67|GALE_MYCTU_ANNO
Rv1559|ilvA|Probable_ANNO
sp|P9WG95|ILVA_MYCTU_ANNO
Rv0440|groEL2|60_ANNO
Rv0704|rplB|50S_ANNO
Rv1079|metB|Cystathionine_ANNO
Rv0952|sucD|Probable_ANNO
Rv0291|mycP3|Probable_ANNO
Rv3029c|fixA|Probable_ANNO
Rv0668|rpoC|DNA-directed_ANNO
sp|P9WGY7|RPOC_MYCTU_ANNO
Rv0711|atsA|Possible_ANNO
Rv1594|nadA|Probable_ANNO
Rv3801c|fadD32|Fatty-acid-AMP_ANNO
Rv3457c|rpoA|Probable_ANNO
Rv2744c|35kd_ag|Conserved_ANNO
Rv3825c|pks2|Polyketide_ANNO
sp|P9WQE9|PHAS_MYCTU_ANNO
Rv1240|mdh|Probable_ANNO
sp|P9WK13|MDH_MYCTU_ANNO
Rv1636|TB15.3|Iron-regulated_ANNO
Rv0667|rpoB|DNA-directed_ANNO
sp|P9WGY9|RPOB_MYCTU_ANNO
Rv3137|Rv3137|Probable_ANNO
sp|P95189|HISN_MYCTU_ANNO
Rv0427c|xthA|Probable_ANNO
Rv3826|fadD23|Probable_ANNO
Rv1747|Rv1747|Probable_ANNO
sp|O65934|ABC1_MYCTU_ANNO
Rv0018c|pstP|Phosphoserine/threonine_ANNO
sp|P9WHW5|PSTP_MYCTU_ANNO
Rv1449c|tkt|Transketolase_ANNO
sp|P9WG25|TKT_MYCTU_ANNO
Rv3051c|nrdE|Ribonucleoside-diphosphate_ANNO
sp|P9WH75|RIR1_MYCTU_ANNO
Rv1308|atpA|Probable_ANNO
Rv0332|Rv0332|Conserved_ANNO
tr|O07256|O07256_MYCTU_ANNO
Rv2250A|Rv2250A|Possible_ANNO
Rv3800c|pks13|Polyketide_ANNO
Rv3281|accE5|Probable_ANNO
Rv0543c|Rv0543c|Conserved_ANNO
tr|O06409|O06409_MYCTU_ANNO
Rv0014c|pknB|Transmembrane_ANNO
Rv1837c|glcB|Malate_ANNO
Rv3678c|Rv3678c|Conserved_ANNO
Rv1201c|dapD|Tetrahydrodipicolinate_ANNO
sp|P9WP21|DAPD_MYCTU_ANNO
Rv1360|Rv1360|Probable_ANNO
Rv1223|htrA|Probable_ANNO
sp|O06291|HTRA1_MYCTU_ANNO
Rv3169|Rv3169|Conserved_ANNO
Rv1122|gnd2|Probable_ANNO
Rv2239c|Rv2239c|Conserved_ANNO
Rv1546|Rv1546|Conserved_ANNO
Rv3014c|ligA|DNA_ANNO
sp|P9WNV1|DNLJ_MYCTU_ANNO
Rv1479|moxR1|Probable_ANNO
Rv3876|espI|ESX-1_ANNO
Rv0284|eccC3|ESX_ANNO
sp|P9WNA9|ECCC3_MYCTU_ANNO
Rv1603|hisA|Probable_ANNO
sp|P9WMM5|HIS4_MYCTU_ANNO
Rv1077|cbs|Probable_ANNO
Rv2467|pepN|Probable_ANNO
tr|L7N655|L7N655_MYCTU_ANNO
Rv2249c|glpD1|Probable_ANNO
sp|P9WN81|GLPD1_MYCTU_ANNO
Rv0260c|Rv0260c|Possible_ANNO
Rv3688c|Rv3688c|Conserved_ANNO
Rv1180|pks3|Probable_ANNO
sp|A0A089QRB9|MSL3_MYCTU_ANNO
Rv2783c|gpsI|Bifunctional_ANNO
Rv3302c|glpD2|Probable_ANNO
sp|P9WN79|GLPD2_MYCTU_ANNO
Rv0931c|pknD|Transmembrane_ANNO
sp|P9WI79|PKND_MYCTU_ANNO
Rv0270|fadD2|Probable_ANNO
Rv1860|apa|Alanine_ANNO
sp|P71741|TREH_MYCTU_ANNO
Rv2629|Rv2629|Conserved_ANNO
Rv2220|glnA1|Glutamine_ANNO
sp|P9WN39|GLN1B_MYCTU_ANNO
Rv1129c|Rv1129c|Probable_ANNO
Rv0423c|thiC|Probable_ANNO
Rv2246|kasB|3-oxoacyl-[acyl-carrier_ANNO
sp|P9WQD7|FAB2_MYCTU_ANNO
Rv0731c|Rv0731c|Possible_ANNO
Rv3283|sseA|Probable_ANNO
sp|P9WHF7|THT2_MYCTU_ANNO
Rv3140|fadE23|Probable_ANNO
Rv2970c|lipN|Probable_ANNO
Rv2291|sseB|Probable_ANNO
sp|P9WHF5|THT3_MYCTU_ANNO
Rv0803|purL|Phosphoribosylformylglycinamidine_ANNO
sp|P9WHL7|PURL_MYCTU_ANNO
Rv3820c|papA2|Possible_ANNO
sp|P9WIK7|PAPA2_MYCTU_ANNO
Rv2889c|tsf|Probable_ANNO
Rv3131|Rv3131|Conserved_ANNO
sp|P9WIZ7|Y3131_MYCTU_ANNO
Rv2213|pepB|Probable_ANNO
sp|P9WHT3|AMPA_MYCTU_ANNO
Rv3028c|fixB|Probable_ANNO
Rv3790|dprE1|Decaprenylphosphoryl-beta-D-ribose_ANNO
Rv3719|Rv3719|Conserved_ANNO
Rv0632c|echA3|Probable_ANNO
Rv0503c|cmaA2|Cyclopropane-fatty-acyl-phospholipid_ANNO
Rv0897c|Rv0897c|Probable_ANNO
Rv1284|canA|Beta-carbonic_ANNO
sp|P9WPJ7|MTCA1_MYCTU_ANNO
Rv2534c|efp|Probable_ANNO
sp|P9WNM3|EFP_MYCTU_ANNO
Rv2358|smtB|Probable_ANNO
